Unnamed: 0,Sector,CourseName,Duration,Minimum Education,Language,Module,TopicName,URL
4185,Accounting,Corporate Governance,65hrs 20min,12th,English/Hindi,Module 1: Introduction to Corporate Governance,"Corporate Governance -  Introduction, Meaning, Definition, Model | MBA | M.Com | B.Com | BBA | KUK",https://www.youtube.com/watch?v=SwExsXqAw6o
4186,Accounting,Corporate Governance,,12th,English/Hindi,Module 1: Importance and Principles,Importance of Corporate Governance | Why Corporate Governance is required |  MBA | BBA | KUK,https://www.youtube.com/watch?v=WazD805ndBU
4187,Accounting,Corporate Governance,,12th,English/Hindi,Module 1: Good Corporate Governance,Basic Principles of Corporate Governance â”‚ Pillars of Corporate Governance,https://www.youtube.com/watch?v=EB0lG2m0LEw
4188,Accounting,Corporate Governance,,12th,English/Hindi,Module 1: Anglo-US Model,Good Corporate Governance | Principles of Good Corporate Governance | MBA | M.Com | BBA | B.Com KUK,https://www.youtube.com/watch?v=bmFE5vG1nQ8
4189,Accounting,Corporate Governance,,12th,English/Hindi,Module 2: Japanese and German Models,Anglo US Model of Corporate Governance | Anglo American or Anglo Saxon Model of Corporate Governance,https://www.youtube.com/watch?v=0DNyii5Iohg
4190,Accounting,Corporate Governance,,12th,English/Hindi,Module 2: Indian Model of Corporate Governance,Japanese Model of Corporate Governance | Corporate Governance Models | M.Com | MBA | BBA | KUK | ðŸ‡¯ðŸ‡µ,https://www.youtube.com/watch?v=fNylD-fO-14
4191,Accounting,Corporate Governance,,12th,English/Hindi,Module 2: Cadbury and Greenbury Reports,German Model of Corporate Governance | M.Com | MBA | BBA | KUK | Corporate Governance Models | ðŸ‡©ðŸ‡ª,https://www.youtube.com/watch?v=oJPg0MKwgM8
4192,Accounting,Corporate Governance,,12th,English/Hindi,Module 3: Hampel Report and Sarbanes-Oxley Act,Indian Model of Corporate Governance | M.Com | MBA | BBA | KUK | Corporate Governance Models,https://www.youtube.com/watch?v=1Jg1jPhC_6g
4193,Accounting,Corporate Governance,,12th,English/Hindi,Module 3: Myners Report and OECD Principles,Cadbury Committee Report on Corporate Governance (1992) | M.Com | MBA | BBA | KUK,https://www.youtube.com/watch?v=ZZgnOFzPY4c
4194,Accounting,Corporate Governance,,12th,English/Hindi,Module 3: Corporate Culture and Governance vs. Government,Greenbury Report on Corporate Governance | Corporate Governance | M.Com | MBA | BBA | KUK,https://www.youtube.com/watch?v=7S3c3J4Nfm4
4195,Accounting,Corporate Governance,,12th,English/Hindi,Module 4: Stakeholders vs. Shareholders,Hampel Report on Corporate Governance | Corporate Governance | M.Com | MBA | BBA | KUK,https://www.youtube.com/watch?v=64twMr1cbJk
4196,Accounting,Corporate Governance,,12th,English/Hindi,Module 4: Corporate Governance vs. Corporate Excellence,Sarbanes Oxley Act (SOX) on Corporate Governance | M.Com | MBA | BBA,https://www.youtube.com/watch?v=318LEUsNGVY
4197,Accounting,Corporate Governance,,12th,English/Hindi,Module 4: Common Interview Questions,Myners Report on Corporate Governance | M.Com | MBA | BBA,https://www.youtube.com/watch?v=HEZPN4QiHM0
4198,Accounting,Corporate Governance,,12th,English/Hindi,Module 5: Case Study 1: Enron,Principles of Corporate Governance by Organization for Economic Co-operation and Development (OECD),https://www.youtube.com/watch?v=qdpQSuKcRRc
4199,Accounting,Corporate Governance,,12th,English/Hindi,Module 5: Case Study 2: Satyam,What is Corporate Culture ? #shorts,https://www.youtube.com/watch?v=0NROfAUbj3o
4200,Accounting,Corporate Governance,,12th,English/Hindi,Module 5: Case Study 3: Volkswagen,Difference Between Governance And Government,https://www.youtube.com/watch?v=4VKxt1WzRhM
4201,Accounting,Corporate Governance,,12th,English/Hindi,Module 6: Future Trends in Corporate Governance,Differences Between Stakeholders and Shareholders,https://www.youtube.com/watch?v=myb9iLrl3GE
4202,Accounting,Corporate Governance,,12th,English/Hindi,Module 6: Corporate Governance in a Globalized World,Corporate Governance vs Corporate Excellence,https://www.youtube.com/watch?v=P_Th8yJ3_ts
4203,Accounting,Corporate Governance,,12th,English/Hindi,Module 6: Best Practices and Emerging Issues,5 Most Important Common Interview Questions! #shorts #viral #trending,https://www.youtube.com/watch?v=WUdQq2_GLAk
